"5","2421 ADAIR ST, FLINT, MI, 48506","Match","Exact","2421 ADAIR ST, FLINT, MI, 48506","-83.659935,43.037846","69570244","L","26","049","002300","3007"
"2312","3102  BROWNELL BLVD, FLINT, MI, 48504","Match","Exact","3102 BROWNELL BLVD, FLINT, MI, 48504","-83.727585,43.04393","69564552","R","26","049","000900","2000"
"6","1817 ADAMS AVE, FLINT, MI, 48505","Match","Exact","1817 ADAMS AVE, FLINT, MI, 48505","-83.703224,43.032547","69567410","L","26","049","001100","4032"
"2311","3101  BROWNELL BLVD, FLINT, MI, 48504","Match","Exact","3101 BROWNELL BLVD, FLINT, MI, 48504","-83.7276,43.043915","69564552","L","26","049","000900","1000"
"7","1821 ADAMS AVE, FLINT, MI, 48505","Match","Exact","1821 ADAMS AVE, FLINT, MI, 48505","-83.70323,43.032574","69567410","L","26","049","001100","4032"
"8","1902  ADAMS AVE, FLINT, MI, 48505","Match","Exact","1902 ADAMS AVE, FLINT, MI, 48505","-83.70325,43.033424","69566957","R","26","049","001100","4007"
"3641","3506 CLAIRMONT ST, FLINT, MI, 48503","Match","Exact","3506 CLAIRMONT ST, FLINT, MI, 48503","-83.732155,42.997486","69573589","R","26","049","003600","4019"
"4972","1608 CROMWELL AVE, FLINT, MI, 48503","Match","Exact","1608 CROMWELL AVE, FLINT, MI, 48503","-83.66882,43.02084","647468711","R","26","049","003000","1022"
"3643","3509  CLAIRMONT ST, FLINT, MI, 48503","Match","Exact","3509 CLAIRMONT ST, FLINT, MI, 48503","-83.73218,42.997475","69573589","L","26","049","003600","4020"
"4974","1611  CROMWELL AVE, FLINT, MI, 48503","Match","Exact","1611 CROMWELL AVE, FLINT, MI, 48503","-83.6688,43.020863","647468711","L","26","049","003000","1022"
"3644","3510 CLAIRMONT ST, FLINT, MI, 48503","Match","Exact","3510 CLAIRMONT ST, FLINT, MI, 48503","-83.73219,42.997486","69573589","R","26","049","003600","4019"
"4975","1616  CROMWELL AVE, FLINT, MI, 48503","Match","Exact","1616 CROMWELL AVE, FLINT, MI, 48503","-83.6687,43.0209","647468711","R","26","049","003000","1022"
"3645","3513  CLAIRMONT ST, FLINT, MI, 48503","Match","Exact","3513 CLAIRMONT ST, FLINT, MI, 48503","-83.73221,42.997475","69573589","L","26","049","003600","4020"
"4976","1620 CROMWELL AVE, FLINT, MI, 48503","Match","Exact","1620 CROMWELL AVE, FLINT, MI, 48503","-83.668655,43.020935","647468711","R","26","049","003000","1022"
"4977","1628  CROMWELL AVE, FLINT, MI, 48503","Match","Exact","1628 CROMWELL AVE, FLINT, MI, 48503","-83.66856,43.02101","647468711","R","26","049","003000","1022"
"2319","3214  BROWNELL BLVD, FLINT, MI, 48504","Match","Exact","3214 BROWNELL BLVD, FLINT, MI, 48504","-83.727585,43.044724","69564552","R","26","049","000900","2000"
"3647","3513 CLAIRMONT ST, FLINT, MI, 48503","Match","Exact","3513 CLAIRMONT ST, FLINT, MI, 48503","-83.73221,42.997475","69573589","L","26","049","003600","4020"
"2318","3210 BROWNELL BLVD, FLINT, MI, 48504","Match","Exact","3210 BROWNELL BLVD, FLINT, MI, 48504","-83.727585,43.044693","69564552","R","26","049","000900","2000"
"4979","1413  CRONK AVE, FLINT, MI, 48506","Match","Exact","1413 CRONK AVE, FLINT, MI, 48506","-83.66595,43.02956","69569174","L","26","049","002600","3008"
"4990","221  CROSBY ST, FLINT, MI, 48503","Match","Exact","221 CROSBY ST, FLINT, MI, 48503","-83.70226,43.03003","69567424","L","26","049","001400","3006"
"4991","229  CROSBY ST, FLINT, MI, 48503","Match","Exact","229 CROSBY ST, FLINT, MI, 48503","-83.702156,43.030033","69567424","L","26","049","001400","3006"
"3661","3521 CLAIRMONT ST, FLINT, MI, 48503","Match","Exact","3521 CLAIRMONT ST, FLINT, MI, 48503","-83.732285,42.99747","69573589","L","26","049","003600","4020"
"4992","325 CROSBY ST, FLINT, MI, 48503","Match","Exact","325 CROSBY ST, FLINT, MI, 48503","-83.70056,43.030205","69567459","L","26","049","001400","3004"
"4993","215  CROSS ST, FLINT, MI, 48503","Match","Non_Exact","215 CROSS CT, FLINT, MI, 48503","-83.68265,43.00583","69575252","L","26","049","003800","1026"
"1000","2422  BASSETT PL, FLINT, MI, 48504","Match","Exact","2422 BASSETT PL, FLINT, MI, 48504","-83.72354,43.038406","69564784","R","26","049","000900","4003"
"2331","3609 BROWNELL BLVD, FLINT, MI, 48504","Match","Exact","3609 BROWNELL BLVD, FLINT, MI, 48504","-83.72762,43.04762","69564451","L","26","049","000700","4015"
"2330","3605 BROWNELL BLVD, FLINT, MI, 48504","Match","Exact","3605 BROWNELL BLVD, FLINT, MI, 48504","-83.72762,43.047596","69564451","L","26","049","000700","4015"
"2325","3602 BROWNELL BLVD, FLINT, MI, 48504","Match","Exact","3602 BROWNELL BLVD, FLINT, MI, 48504","-83.72761,43.047585","69564451","R","26","049","000700","4016"
"2324","3513 BROWNELL BLVD, FLINT, MI, 48504","Match","Exact","3513 BROWNELL BLVD, FLINT, MI, 48504","-83.727615,43.047054","69564451","L","26","049","000700","4015"
"2322","3510 BROWNELL BLVD, FLINT, MI, 48504","Match","Exact","3510 BROWNELL BLVD, FLINT, MI, 48504","-83.7276,43.047043","69564451","R","26","049","000700","4016"
"2321","3509 BROWNELL BLVD, FLINT, MI, 48504","Match","Exact","3509 BROWNELL BLVD, FLINT, MI, 48504","-83.727615,43.04703","69564451","L","26","049","000700","4015"
"3652","3513 CLAIRMONT ST, FLINT, MI, ***","No_Match"
"4983","2007  CROOKED LN, FLINT, MI, 48503","Match","Exact","2007 CROOKED LN, FLINT, MI, 48503","-83.72639,42.99366","69573767","L","26","049","003600","6018"
"3653","3514  CLAIRMONT ST, FLINT, MI, 48503","Match","Exact","3514 CLAIRMONT ST, FLINT, MI, 48503","-83.73223,42.997482","69573589","R","26","049","003600","4019"
"4984","2020  CROOKED LN, FLINT, MI, 48503","Match","Exact","2020 CROOKED LN, FLINT, MI, 48503","-83.72626,42.993423","69573767","R","26","049","003600","6017"
"3654","3514 CLAIRMONT ST, FLINT, MI, 48503","Match","Exact","3514 CLAIRMONT ST, FLINT, MI, 48503","-83.73223,42.997482","69573589","R","26","049","003600","4019"
"4986","2031  CROOKED LN, FLINT, MI, 48503","Match","Exact","2031 CROOKED LN, FLINT, MI, 48503","-83.726204,42.993244","69573767","L","26","049","003600","6018"
"4987","2039  CROOKED LN, FLINT, MI, 48503","Match","Exact","2039 CROOKED LN, FLINT, MI, 48503","-83.726204,42.993095","69573767","L","26","049","003600","6018"
"4988","2046  CROOKED LN, FLINT, MI, 48503","Match","Exact","2046 CROOKED LN, FLINT, MI, 48503","-83.726295,42.99296","69573767","R","26","049","003600","6017"
"3658","3521  CLAIRMONT ST, FLINT, MI, 48503","Match","Exact","3521 CLAIRMONT ST, FLINT, MI, 48503","-83.732285,42.99747","69573589","L","26","049","003600","4020"
"4989","2054  CROOKED LN, FLINT, MI, 48503","Match","Exact","2054 CROOKED LN, FLINT, MI, 48503","-83.726364,42.992825","69573767","R","26","049","003600","6017"
"3670","3626  CLAIRMONT ST, FLINT, MI, 48532","Match","Exact","3626 CLAIRMONT ST, FLINT, MI, 48532","-83.733574,42.997444","69573573","R","26","049","003600","3014"
"3671","3701  CLAIRMONT ST, FLINT, MI, 48532","Match","Exact","3701 CLAIRMONT ST, FLINT, MI, 48532","-83.734276,42.997406","69573573","L","26","049","003600","3017"
"3672","3702  CLAIRMONT ST, FLINT, MI, 48532","Match","Exact","3702 CLAIRMONT ST, FLINT, MI, 48532","-83.7343,42.997414","69573573","R","26","049","003600","3014"
"3673","3705  CLAIRMONT ST, FLINT, MI, 48532","Match","Exact","3705 CLAIRMONT ST, FLINT, MI, 48532","-83.734314,42.997402","69573573","L","26","049","003600","3017"
"1011","1814  BAYBERRY LN, FLINT, MI, ","Match","Exact","1814 BAYBERRY LN, FLINT, MI, 48507","-83.70488,42.990875","69574546","R","26","049","013500","2019"
"2342","3813  BROWNELL BLVD, FLINT, MI, 48504","Match","Exact","3813 BROWNELL BLVD, FLINT, MI, 48504","-83.72763,43.049152","69564445","L","26","049","000700","4004"
"1010","1801  BAYBERRY LN, FLINT, MI, 48507","Match","Exact","1801 BAYBERRY LN, FLINT, MI, 48507","-83.70483,42.990795","69574546","L","26","049","013500","2017"
"2341","3808 BROWNELL BLVD, FLINT, MI, 48504","Match","Exact","3808 BROWNELL BLVD, FLINT, MI, 48504","-83.727615,43.049126","69564445","R","26","049","000700","4003"
"2340","3807  BROWNELL BLVD, FLINT, MI, 48504","Match","Exact","3807 BROWNELL BLVD, FLINT, MI, 48504","-83.72763,43.049114","69564445","L","26","049","000700","4004"
"1008","1702  BAYBERRY LN, FLINT, MI, 48507","Match","Exact","1702 BAYBERRY LN, FLINT, MI, 48507","-83.70415,42.990482","69574546","R","26","049","013500","2019"
"2339","3802  BROWNELL BLVD, FLINT, MI, 48504","Match","Exact","3802 BROWNELL BLVD, FLINT, MI, 48504","-83.727615,43.04909","69564445","R","26","049","000700","4003"
"1007","1701  BAYBERRY LN, FLINT, MI, 48507","Match","Exact","1701 BAYBERRY LN, FLINT, MI, 48507","-83.70413,42.99047","69574546","L","26","049","013500","2017"
"1006","2430 BASSETT PL, FLINT, MI, 48504","Match","Exact","2430 BASSETT PL, FLINT, MI, 48504","-83.72354,43.038475","69564784","R","26","049","000900","4003"
"2337","3801  BROWNELL BLVD, FLINT, MI, 48504","Match","Exact","3801 BROWNELL BLVD, FLINT, MI, 48504","-83.72763,43.04908","69564445","L","26","049","000700","4004"
